Folder,Filename,Code Complexity,Cyclomatic Complexity,Number of Functions,Lines of Code,Has Loops,Has Conditionals,Has Functions,Has Classes
Alice Gana,aristotle.py,0,0,0,84,0,0,0,0
Alice Gana,basic_calculator.py,1,1,0,93,1,1,1,0
Alice Gana,basic_calculator2.py,1,1,0,97,1,1,1,0
Alice Gana,basic_calculator3.py,3,3,0,146,1,1,1,0
Alice Gana,functions.py,5,5,0,133,1,1,1,0
Alice Gana,function_exercise4.py,2,2,0,35,1,1,1,0
Alice Gana,functio_excercise1.py,3,3,0,32,0,1,1,0
Alice Gana,functio_excercise2.py,6,6,0,46,1,1,1,0
Alice Gana,functio_excercise3.py,3,3,0,26,1,1,1,0
Alice Gana,list_exercise1.py,0,0,0,33,1,1,0,0
Alice Gana,list_exercise2.py,0,0,0,21,0,1,0,0
Alice Gana,list_exercise3.py,0,0,0,28,0,0,0,0
Alice Gana,list_exercise4.py,0,0,0,27,1,0,0,0
Alice Gana,list_exercise5.py,0,0,0,49,1,1,0,0
Alice Gana,main.py,0,0,0,120,1,0,0,0
Alice Gana,main2.py,1,1,0,49,0,1,1,0
Alice Gana,main3.py,0,0,0,83,1,1,0,0
Alice Gana,products.py,2,2,0,32,0,0,1,1
Alice Gana,reccursion_excercise1.py,2,2,0,49,1,1,1,0
Alice Gana,shoppingcart.py,3,3,0,28,1,1,1,1
AMAN KHARWAL,3d.py,1,1,0,43,0,0,1,0
AMAN KHARWAL,Alarm Clock.py,0,0,0,22,1,1,0,0
AMAN KHARWAL,analog.py,2,2,0,70,1,1,1,1
AMAN KHARWAL,BMI.py,0,0,0,17,0,1,0,0
AMAN KHARWAL,calculator.py,4,4,0,44,1,0,1,1
AMAN KHARWAL,chess.py,1,1,0,19,0,0,1,0
AMAN KHARWAL,clock.py,1,1,0,24,0,0,1,0
AMAN KHARWAL,dice.py,0,0,0,24,1,0,0,0
AMAN KHARWAL,fidget spinner.py,1,1,0,37,0,1,1,0
AMAN KHARWAL,game of life.py,17,17,0,38,1,1,1,1
AMAN KHARWAL,image converter.py,1,1,0,29,0,0,1,0
AMAN KHARWAL,Monty hall.py,10,10,0,28,0,1,1,0
AMAN KHARWAL,Music player.py,1,1,0,46,1,0,1,0
AMAN KHARWAL,number guessing game.py,0,0,0,22,1,1,0,0
AMAN KHARWAL,Quiz_game.py,6,6,0,26,1,1,1,0
AMAN KHARWAL,rainy.py,0,0,0,22,0,0,0,0
AMAN KHARWAL,rock.py,0,0,0,38,1,1,0,0
AMAN KHARWAL,video to audio.py,3,3,0,25,0,1,1,0
AMAN KHARWAL,video to text.py,0,0,0,21,1,0,0,0
AMAN KHARWAL,weight converter.py,1,1,0,39,0,0,1,0
Armin Ronacher,aio.py,2,2,0,60,0,1,1,0
Armin Ronacher,atomicfile.py,7,7,0,142,1,1,1,1
Armin Ronacher,classyext.py,1,1,0,87,0,0,0,1
Armin Ronacher,cli.py,2,2,0,51,0,1,1,0
Armin Ronacher,config.py,3,3,0,95,1,1,1,1
Armin Ronacher,flask_theme_support.py,1,1,0,87,0,0,0,1
Armin Ronacher,hello.py,1,1,0,54,0,1,1,1
Armin Ronacher,manage.py,1,1,0,22,0,1,1,0
Armin Ronacher,pastebin.py,1,1,0,165,0,1,1,1
Armin Ronacher,programs.py,2,2,0,149,1,1,1,1
Armin Ronacher,re_scan.py,3,3,0,111,1,1,1,1
Armin Ronacher,rust_setup_tools.py,1,1,0,130,1,1,1,1
Armin Ronacher,server.py,3,3,0,58,1,1,1,1
Armin Ronacher,signals.py,0,0,0,38,0,0,0,0
Armin Ronacher,speaklater.py,1,1,0,201,0,1,1,1
Armin Ronacher,tests.py,2,2,0,105,0,1,1,1
Armin Ronacher,test_basic.py,2,2,0,83,0,0,1,0
Armin Ronacher,threads.py,1,1,0,40,0,1,1,0
Armin Ronacher,unified.py,1,1,0,23,1,1,1,0
Armin Ronacher,utils.py,2,2,0,93,1,1,1,1
David Beazley,apachelog.py,6,6,0,37,1,1,1,0
David Beazley,broadcast.py,3,3,0,25,1,1,1,1
David Beazley,bytesgen.py,0,0,0,22,0,0,0,0
David Beazley,consumer.py,1,1,0,29,1,1,1,0
David Beazley,downloads.py,0,0,0,17,0,0,0,0
David Beazley,fieldmap.py,2,2,0,38,1,1,1,0
David Beazley,follow.py,3,3,0,33,1,1,1,0
David Beazley,gencat.py,2,2,0,20,1,1,1,0
David Beazley,genevents.py,5,5,0,47,1,1,1,0
David Beazley,gengrep.py,3,3,0,25,1,1,1,0
David Beazley,genmulti.py,2,2,0,64,1,1,1,0
David Beazley,genopen.py,4,4,0,25,1,1,1,0
David Beazley,genqueue.py,3,3,0,32,1,1,1,0
David Beazley,logcoroutine.py,3,3,0,29,1,1,1,0
David Beazley,netsend.py,2,2,0,40,0,1,1,1
David Beazley,runservers.py,0,0,0,23,0,0,0,0
David Beazley,sendto.py,2,2,0,25,1,1,1,0
David Beazley,shutdownevt.py,5,5,0,40,1,1,1,0
David Beazley,storelast.py,2,2,0,26,1,1,1,1
David Beazley,thrsend.py,4,4,0,51,1,1,1,1
Donne Martin,bst.py,2,2,0,44,0,1,1,1
Donne Martin,dfs.py,2,2,0,18,0,1,1,0
Donne Martin,test_bit.py,1,1,0,39,0,1,1,1
Donne Martin,test_bits_to_flip.py,1,1,0,22,0,1,1,1
Donne Martin,test_compress.py,1,1,0,24,0,1,1,1
Donne Martin,test_draw_lines.py,1,1,0,29,1,1,1,1
Donne Martin,test_fizz_buzz.py,1,1,0,38,0,1,1,1
Donne Martin,test_flip_bits.py,1,1,0,30,0,1,1,1
Donne Martin,test_get_next_largest.py,1,1,0,34,0,1,1,1
Donne Martin,test_hash_map.py,1,1,0,48,0,1,1,1
Donne Martin,test_insert_m_into_n.py,1,1,0,22,0,1,1,1
Donne Martin,test_pairwise_swap.py,1,1,0,25,0,1,1,1
Donne Martin,test_permutation_solution.py,2,2,0,31,0,1,1,1
Donne Martin,test_print_binary.py,1,1,0,26,0,1,1,1
Donne Martin,test_priority_queue.py,1,1,0,31,1,1,1,1
Donne Martin,test_reverse_string.py,1,1,0,30,0,1,1,1
Donne Martin,test_rotation.py,1,1,0,23,0,1,1,1
Donne Martin,test_str_diff.py,1,1,0,27,0,1,1,1
Donne Martin,test_two_sum.py,1,1,0,24,0,1,1,1
Donne Martin,test_unique_chars.py,2,2,0,31,0,1,1,1
Garvit Bansal,03.py,4,4,0,29,1,1,1,1
Garvit Bansal,05.py,12,12,0,75,1,1,1,1
Garvit Bansal,06.py,9,9,0,42,1,1,1,1
Garvit Bansal,10.py,14,14,0,41,1,1,1,1
Garvit Bansal,11.py,4,4,0,27,1,1,1,1
Garvit Bansal,14.py,6,6,0,51,1,1,1,1
Garvit Bansal,15.py,11,11,0,48,1,1,1,1
Garvit Bansal,16.py,7,7,0,45,1,1,1,1
Garvit Bansal,17.py,6,6,0,34,1,1,1,1
Garvit Bansal,18.py,10,10,0,58,1,1,1,1
Garvit Bansal,19.py,6,6,0,43,1,1,1,1
Garvit Bansal,22.py,2,2,0,37,0,1,1,1
Garvit Bansal,23.py,6,6,0,84,1,1,1,1
Garvit Bansal,24.py,5,5,0,32,1,1,1,1
Garvit Bansal,25.py,9,9,0,39,1,1,1,1
Garvit Bansal,26.py,5,5,0,34,1,1,1,1
Garvit Bansal,30.py,12,12,0,65,1,1,1,1
Garvit Bansal,31.py,8,8,0,43,1,1,1,1
Garvit Bansal,32.py,5,5,0,19,1,1,1,1
Garvit Bansal,33.py,10,10,0,72,1,1,1,1
Imad,2nd_max.py,6,6,0,18,1,1,1,0
Imad,Arrays.py,0,0,0,77,0,0,0,0
Imad,Deeletion_by_value.py,2,2,0,31,1,1,1,1
Imad,Duplicate_in_linklist.py,4,4,0,41,1,1,1,0
Imad,First_Non_rep_integer.py,5,5,0,32,1,1,1,0
Imad,hashfunction.py,1,1,0,67,1,1,1,0
Imad,Insertion_at_Head.py,2,2,0,42,1,1,1,1
Imad,insertion_at_kth.py,3,3,0,42,1,1,1,1
Imad,Insertion_at_tail.py,3,3,0,21,1,1,1,0
Imad,LinkedList.py,3,3,0,24,1,1,1,1
Imad,Listof_Element_Product.py,4,4,0,23,1,1,1,0
Imad,MaxHeapImplementaion.py,3,3,0,62,1,1,1,1
Imad,maxtominHeap.py,2,2,0,44,1,1,1,0
Imad,Max_Sum_Sublist.py,2,2,0,55,1,0,1,0
Imad,Middle_node.py,2,2,0,73,1,1,1,1
Imad,Minheap.py,3,3,0,75,1,1,1,1
Imad,Rearrange_Sortedlist.py,3,3,0,22,1,1,1,0
Imad,right_rotate.py,3,3,0,24,1,1,1,0
Imad,sum_upto_k.py,4,4,0,41,1,1,1,0
Imad,Union_Intersection_LL.py,8,8,0,87,1,1,1,0
Jaredliw,1073 Towers.py,0,0,0,48,1,1,0,0
Jaredliw,1084 Apartments.py,0,0,0,29,1,1,0,0
Jaredliw,1090 Ferris Wheel.py,0,0,0,19,1,1,0,0
Jaredliw,1192 Counting Rooms.py,5,5,0,24,1,1,1,0
Jaredliw,1620 Factory Machines.py,0,0,0,21,1,1,0,0
Jaredliw,1629 Movie Festival.py,0,0,0,14,1,1,0,0
Jaredliw,1630 Tasks and Deadlines.py,0,0,0,19,1,0,0,0
Jaredliw,1660 Subarray Sums I.py,0,0,0,19,1,0,0,0
Jaredliw,1662 Subarray Divisibility.py,0,0,0,20,1,1,0,0
Jaredliw,1666 Building Roads.py,0,0,0,28,1,1,0,0
Jaredliw,Alphabet Spam.py,0,0,0,23,1,1,0,0
Jaredliw,ASCII Figure Rotation.py,0,0,0,31,1,1,0,0
Jaredliw,Circuit Math.py,0,0,0,28,1,1,0,0
Jaredliw,Combination Lock.py,0,0,0,19,1,1,0,0
Jaredliw,Competitive Arcade Basketball.py,0,0,0,21,1,1,0,0
Jaredliw,Cudoviste.py,0,0,0,15,1,1,0,0
Jaredliw,DRM Messages.py,2,2,0,26,1,1,1,0
Jaredliw,Ostgotska.py,0,0,0,13,1,1,0,0
Jaredliw,Words for Numbers.py,0,0,0,51,1,1,0,0
Jaredliw,Zamka.py,2,2,0,20,1,1,1,0
Kamyu,1-bit-and-2-bit-characters.py,4,4,0,17,1,1,1,1
Kamyu,132-pattern.py,6,6,0,38,1,1,1,1
Kamyu,2-keys-keyboard.py,5,5,0,21,1,1,1,1
Kamyu,24-game.py,15,15,0,62,1,1,1,1
Kamyu,accounts-merge.py,2,2,0,52,1,1,1,1
Kamyu,ambiguous-coordinates.py,4,4,0,25,1,1,1,1
Kamyu,bag-of-tokens.py,5,5,0,27,1,1,1,1
Kamyu,battleships-in-a-board.py,10,10,0,21,1,1,1,1
Kamyu,best-meeting-point.py,7,7,0,46,1,1,1,1
Kamyu,binary-subarrays-with-sum.py,10,10,0,27,1,1,1,1
Kamyu,binary-watch.py,5,5,0,29,1,0,1,1
Kamyu,candy-crush.py,13,13,0,38,1,1,1,1
